t,plant,axis,organ,Uptake_Nitrates
608,1,MS,roots,0.05222119
609,1,MS,roots,0.05034865
610,1,MS,roots,0.04865507
611,1,MS,roots,0.04713202
612,1,MS,roots,0.04573609
613,1,MS,roots,0.04444263
614,1,MS,roots,0.04314758
615,1,MS,roots,0.04203308
616,1,MS,roots,0.04094371
617,1,MS,roots,0.03988714
618,1,MS,roots,0.03927594
619,1,MS,roots,0.04027386
620,1,MS,roots,0.04417918
621,1,MS,roots,0.05068019
622,1,MS,roots,0.05893639
623,1,MS,roots,0.06832871
624,1,MS,roots,0.07694607
625,1,MS,roots,0.08282135
626,1,MS,roots,0.08464593
627,1,MS,roots,0.08313678
628,1,MS,roots,0.07988239
629,1,MS,roots,0.07599647
630,1,MS,roots,0.07182845
631,1,MS,roots,0.0677785
632,1,MS,roots,0.06397365
633,1,MS,roots,0.0605337
634,1,MS,roots,0.05751855
635,1,MS,roots,0.05476752
636,1,MS,roots,0.05257693
637,1,MS,roots,0.05066457
638,1,MS,roots,0.04913892
639,1,MS,roots,0.04743953
640,1,MS,roots,0.04596735
641,1,MS,roots,0.04480485
642,1,MS,roots,0.04462524
643,1,MS,roots,0.04657785
644,1,MS,roots,0.05180905
645,1,MS,roots,0.0600871
646,1,MS,roots,0.06931586
647,1,MS,roots,0.07714072
648,1,MS,roots,0.0828909
649,1,MS,roots,0.086667
650,1,MS,roots,0.08813259
651,1,MS,roots,0.08785461
652,1,MS,roots,0.08660056
653,1,MS,roots,0.0848265
654,1,MS,roots,0.08271734
655,1,MS,roots,0.08051813
656,1,MS,roots,0.07825095
657,1,MS,roots,0.07588117
658,1,MS,roots,0.07339204
659,1,MS,roots,0.07091564
660,1,MS,roots,0.06872503
661,1,MS,roots,0.06671151
662,1,MS,roots,0.06500234
663,1,MS,roots,0.06362514
664,1,MS,roots,0.06227852
665,1,MS,roots,0.0609909
666,1,MS,roots,0.05958734
667,1,MS,roots,0.05827366
668,1,MS,roots,0.05746928
669,1,MS,roots,0.05750007
670,1,MS,roots,0.05984184
671,1,MS,roots,0.06459108
672,1,MS,roots,0.07056712
673,1,MS,roots,0.07494168
674,1,MS,roots,0.07721872
675,1,MS,roots,0.07753241
676,1,MS,roots,0.07693892
677,1,MS,roots,0.07566971
678,1,MS,roots,0.07379344
679,1,MS,roots,0.07161863
680,1,MS,roots,0.0693507
681,1,MS,roots,0.06699133
682,1,MS,roots,0.06471409
683,1,MS,roots,0.06260335
684,1,MS,roots,0.06056789
685,1,MS,roots,0.05868697
686,1,MS,roots,0.05691976
687,1,MS,roots,0.05531824
688,1,MS,roots,0.05374868
689,1,MS,roots,0.0522699
690,1,MS,roots,0.05122374
691,1,MS,roots,0.0509387
692,1,MS,roots,0.05146652
693,1,MS,roots,0.05314572
694,1,MS,roots,0.05607376
695,1,MS,roots,0.05967705
696,1,MS,roots,0.06289237
697,1,MS,roots,0.06482524
698,1,MS,roots,0.06521125
699,1,MS,roots,0.06467697
700,1,MS,roots,0.06351372
701,1,MS,roots,0.06186244
702,1,MS,roots,0.06001064
703,1,MS,roots,0.05816961
704,1,MS,roots,0.05642699
705,1,MS,roots,0.05466855
706,1,MS,roots,0.05296652
707,1,MS,roots,0.05134157
708,1,MS,roots,0.04989578
709,1,MS,roots,0.04859314
710,1,MS,roots,0.04736872
711,1,MS,roots,0.04582081
712,1,MS,roots,0.04448505
713,1,MS,roots,0.04347546
714,1,MS,roots,0.04307853
715,1,MS,roots,0.04398681
716,1,MS,roots,0.04700889
717,1,MS,roots,0.05227319
718,1,MS,roots,0.0576016
719,1,MS,roots,0.06154989
720,1,MS,roots,0.06452995
721,1,MS,roots,0.06638891
722,1,MS,roots,0.06716519
723,1,MS,roots,0.06693028
724,1,MS,roots,0.06587069
725,1,MS,roots,0.06432104
726,1,MS,roots,0.06261038
727,1,MS,roots,0.06078364
728,1,MS,roots,0.05890973
729,1,MS,roots,0.05704264
730,1,MS,roots,0.05527445
731,1,MS,roots,0.05360304
732,1,MS,roots,0.05206994
733,1,MS,roots,0.05082697
734,1,MS,roots,0.04957629
735,1,MS,roots,0.04842502
736,1,MS,roots,0.04726041
737,1,MS,roots,0.04606326
738,1,MS,roots,0.04534438
739,1,MS,roots,0.04567819
740,1,MS,roots,0.04772742
741,1,MS,roots,0.0520076
742,1,MS,roots,0.05851189
743,1,MS,roots,0.06570157
744,1,MS,roots,0.07316239
745,1,MS,roots,0.07836903
746,1,MS,roots,0.08053239
747,1,MS,roots,0.08062168
748,1,MS,roots,0.07924591
749,1,MS,roots,0.07738621
750,1,MS,roots,0.07533241
751,1,MS,roots,0.07284291
752,1,MS,roots,0.07009794
753,1,MS,roots,0.06729081
754,1,MS,roots,0.06479152
755,1,MS,roots,0.06249971
756,1,MS,roots,0.06038573
757,1,MS,roots,0.05850658
758,1,MS,roots,0.05673475
759,1,MS,roots,0.05506515
760,1,MS,roots,0.05348033
761,1,MS,roots,0.05210753
762,1,MS,roots,0.05161207
763,1,MS,roots,0.05274901
764,1,MS,roots,0.05615546
765,1,MS,roots,0.06174681
766,1,MS,roots,0.06802795
767,1,MS,roots,0.07348412
768,1,MS,roots,0.07750891
769,1,MS,roots,0.07980984
770,1,MS,roots,0.08050594
771,1,MS,roots,0.07986416
772,1,MS,roots,0.07848568
773,1,MS,roots,0.0765817
774,1,MS,roots,0.07452997
775,1,MS,roots,0.07237831
776,1,MS,roots,0.07029767
777,1,MS,roots,0.06836753
778,1,MS,roots,0.06655991
779,1,MS,roots,0.06517858
780,1,MS,roots,0.06417111
781,1,MS,roots,0.0633801
782,1,MS,roots,0.06252378
783,1,MS,roots,0.06157458
784,1,MS,roots,0.0605166
785,1,MS,roots,0.0595449
786,1,MS,roots,0.0591525
787,1,MS,roots,0.06026498
788,1,MS,roots,0.06364794
789,1,MS,roots,0.06932672
790,1,MS,roots,0.07632267
791,1,MS,roots,0.08281545
792,1,MS,roots,0.08767295
793,1,MS,roots,0.09041816
794,1,MS,roots,0.0913762
795,1,MS,roots,0.09140273
796,1,MS,roots,0.09088412
797,1,MS,roots,0.08986437
798,1,MS,roots,0.08885463
799,1,MS,roots,0.0878122
800,1,MS,roots,0.08711062
801,1,MS,roots,0.08629221
802,1,MS,roots,0.08566299
803,1,MS,roots,0.08524318
804,1,MS,roots,0.08511854
805,1,MS,roots,0.08494228
806,1,MS,roots,0.08491294
807,1,MS,roots,0.08477326
808,1,MS,roots,0.08497879
809,1,MS,roots,0.08511073
810,1,MS,roots,0.08518165
811,1,MS,roots,0.08620523
812,1,MS,roots,0.08855156
813,1,MS,roots,0.09121107
814,1,MS,roots,0.09344653
815,1,MS,roots,0.09568137
816,1,MS,roots,0.09725836
817,1,MS,roots,0.09764243
818,1,MS,roots,0.09713081
819,1,MS,roots,0.09640217
820,1,MS,roots,0.09534092
821,1,MS,roots,0.09418949
822,1,MS,roots,0.09278274
823,1,MS,roots,0.09162518
824,1,MS,roots,0.09068175
825,1,MS,roots,0.08983943
826,1,MS,roots,0.0892736
827,1,MS,roots,0.08894498
828,1,MS,roots,0.08869175
829,1,MS,roots,0.08880546
830,1,MS,roots,0.08933654
831,1,MS,roots,0.08995347
832,1,MS,roots,0.09051298
833,1,MS,roots,0.09097904
834,1,MS,roots,0.09163631
835,1,MS,roots,0.09258843
836,1,MS,roots,0.09377353
837,1,MS,roots,0.09476735
838,1,MS,roots,0.09575195
839,1,MS,roots,0.09651653
840,1,MS,roots,0.0968101
841,1,MS,roots,0.09631755
842,1,MS,roots,0.09558419
843,1,MS,roots,0.09481206
844,1,MS,roots,0.09414557
845,1,MS,roots,0.09359698
846,1,MS,roots,0.09269441
847,1,MS,roots,0.09217546
848,1,MS,roots,0.09165597
849,1,MS,roots,0.09082727
850,1,MS,roots,0.09050298
851,1,MS,roots,0.09055824
852,1,MS,roots,0.09067686
853,1,MS,roots,0.09095941
854,1,MS,roots,0.09174687
855,1,MS,roots,0.09257856
856,1,MS,roots,0.09318965
857,1,MS,roots,0.09317296
858,1,MS,roots,0.09287521
859,1,MS,roots,0.0935645
860,1,MS,roots,0.10058981
861,1,MS,roots,0.1175996
862,1,MS,roots,0.11424029
863,1,MS,roots,0.11879938
864,1,MS,roots,0.09902365
865,1,MS,roots,0.09037387
866,1,MS,roots,0.08955957
867,1,MS,roots,0.08828263
868,1,MS,roots,0.08673637
869,1,MS,roots,0.08511067
870,1,MS,roots,0.08348122
871,1,MS,roots,0.0816911
872,1,MS,roots,0.07982891
873,1,MS,roots,0.07813953
874,1,MS,roots,0.07672503
875,1,MS,roots,0.07586355
876,1,MS,roots,0.07543458
877,1,MS,roots,0.07530811
878,1,MS,roots,0.07530072
879,1,MS,roots,0.07565548
880,1,MS,roots,0.07600531
881,1,MS,roots,0.07644565
882,1,MS,roots,0.0774885
883,1,MS,roots,0.09232776
